기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2010,종로구,1436,19,2009,1104,142,148,0,23,19,68.95,7502,179362,51,111,431,430,418,374,66,83,64
2010,중구,1540,7,2152,1238,159,126,0,15,2,68.95,14177,141200,33,101,483,470,482,368,88,91,43
2010,용산구,1245,15,1738,962,70,124,1,26.5,39.5,79.4,11759,257143,54,88,376,410,340,293,74,54,64
2010,성동구,1097,15,1528,896,77,98,1,15,10,86.2,18808,316892,60,95,373,304,314,247,50,61,39
2010,광진구,1540,17,2212,1267,129,125,0,18,1,80.5,22786,388775,106,160,525,443,451,353,68,64,59
2010,동대문구,1834,25,2484,1429,187.25,155,1,25,9,71.7,26713,379343,94,179,514,430,517,446,112,126,91
2010,중랑구,2080,17,2841,1679,187.25,176,0,25,7,79.2,23371,432302,161,311,492,543,556,491,97,104,103
2010,성북구,1611,10,2197,1356,113,121,0,20,1,86.3,20260,497692,131,204,436,424,409,349,72,85,97
2010,강북구,1293,16,1780,931,187.25,146,1,16,3,78,14823,350007,86,168,360,322,348,282,95,76,59
2010,도봉구,975,11,1362,838,35,85,2,8,7,85.9,17908,370734,92,165,243,188,262,250,46,75,52
2010,노원구,1683,25,2434,1379,112,165,0,26,1,81.2,17367,615425,149,258,439,445,526,407,73,96,66
2010,은평구,1514,16,2120,1192,134,129,1,23,35,85,16600,492925,143,219,354,347,387,408,97,98,83
2010,서대문구,1141,15,1719,925,81,113,0,20,2,80.1,18965,333871,96,138,365,319,348,279,64,71,54
2010,마포구,1726,22,2697,1393,159,130,3,24,17,78.9,16771,400464,100,199,675,584,513,415,87,88,58
2010,양천구,1463,12,2070,1102,157,167,1,26.5,9,88.55,29028,505223,137,197,351,394,475,341,71,66,50
2010,강서구,1872,21,2594,1608,117,122,2,20,3,83.6,14013,580506,137,250,459,498,520,467,100,104,80
2010,구로구,1568,14,2270,1267,98,180,1,21,1,85.7,22497,452667,97,173,453,457,494,384,97,70,59
2010,금천구,1123,12,1702,879,103,128,0,11,2,79.7,20349,264544,82,190,307,318,388,282,53,55,39
2010,영등포구,2253,27.5,3348,1730,187.25,217,2,26.5,4,75.7,18141,445648,135,213,716.5,686.5,690.75,535,138,110,78
2010,동작구,1131,13,1594,860,111,120,0,24,16,83.8,25312,413814,75,109,367,341,315,241,55,57,47
